Intentions,Topics,Subtopics,Keyword,Volume,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Avg. monthly searches,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022
observable objects,comets,autre,comete groupe sgp,20.0,0%,100%,Low,5.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,70.0,30.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,30.0,20.0,20.0,20.0
NA,NA,autre,cite aeronautique toulouse,20.0,-33%,100%,Low,10.0,,,,,,,,20.0,10.0,10.0,20.0,10.0,30.0,50.0,20.0,30.0,10.0,10.0,10.0,10.0,10.0,30.0,20.0,10.0,40.0,20.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,70.0,70.0,30.0,50.0,20.0,30.0,20.0,20.0
orientation,simulation,autre,iss en direct carte,10.0,0%,∞,Low,2.0,,,,,,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,590.0,170.0,210.0,260.0,140.0,90.0,40.0,10.0,20.0,10.0
orientation,city,autre,le planetarium la villette,90.0,350%,∞,Low,12.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,20.0,20.0,90.0
astronomy,people,autre,thomas pesquet nationalité,10.0,-50%,∞,Low,0.0,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,320.0,170.0,30.0,10.0,10.0,70.0,40.0,50.0,20.0,20.0,10.0
astronomy,places,autre,cité des sciences scolaire,40.0,100%,∞,Low,0.0,,,,,,,,20.0,30.0,10.0,10.0,10.0,10.0,10.0,70.0,40.0,50.0,20.0,30.0,40.0,40.0,30.0,30.0,10.0,10.0,20.0,50.0,40.0,40.0,20.0,50.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,0.0,10.0,0.0,10.0,10.0,30.0,30.0,10.0,10.0,90.0,40.0,50.0,20.0,20.0,40.0
astronomy,places,autre,recrutement cité des sciences,10.0,0%,0%,Low,0.0,,,,,,,,20.0,20.0,40.0,30.0,10.0,30.0,20.0,20.0,30.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,30.0,30.0,20.0,20.0,30.0,30.0,10.0,10.0,20.0,10.0,20.0,10.0,30.0,20.0,20.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,30.0,30.0,10.0,10.0,20.0,10.0
astronomy,places,autre,planetarium nantes reservation,30.0,200%,∞,Low,16.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,70.0,20.0,10.0,20.0,20.0,10.0,20.0,30.0
observable objects,eclipses,autre,eclipse solaire nouvelle lune,10.0,-67%,0%,Low,0.0,,,,,,,,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,10.0,10.0,10.0,10.0,20.0,140.0,10.0,10.0,10.0,10.0,20.0,30.0,20.0,10.0
observable objects,constellations,autre,etoile constellation taureau,30.0,50%,50%,High,96.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,20.0,10.0,30.0,20.0,20.0,50.0,30.0,20.0,30.0,40.0,30.0,20.0,30.0,10.0,20.0,20.0,20.0,10.0,10.0,10.0,20.0,20.0,30.0,10.0,20.0,20.0,20.0,30.0
