Intentions,Topics,Subtopics,Keyword,Volume,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Avg. monthly searches,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022
astronomy,photo,other,photos nasa apollo,0.0,-100%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,70.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
observable objects,solar system,other,système solaire pour les jeunes,10.0,-50%,0%,High,100.0,,,,,,,,10.0,50.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0
observable objects,solar system,other,systeme solaire et la lune,10.0,0%,0%,High,71.0,,,,,,,,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
observable objects,solar system,other,systeme solaire sumerien,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
observable objects,solar system,other,formation système solaire animation,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0
observable objects,solar system,other,systeme solaire 2020,10.0,∞,-67%,Low,0.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,70.0,70.0,70.0,70.0,40.0,30.0,90.0,70.0,40.0,50.0,40.0,30.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0
observable objects,solar system,other,systeme solaire powerpoint,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,0.0,10.0,20.0,10.0,10.0,10.0
astronomy,photo,other,photos nasa terre,10.0,0%,0%,Medium,57.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
space,nasa / european space agency,other,super ordinateur nasa,10.0,∞,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0
observable objects,stars,other,carte de notre système solaire,20.0,100%,-33%,High,85.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0
observable objects,planets,other,mercure st cloud,30.0,200%,-25%,Low,1.0,,,,,,,,40.0,70.0,50.0,50.0,70.0,70.0,40.0,50.0,70.0,70.0,50.0,70.0,40.0,40.0,40.0,50.0,40.0,40.0,30.0,70.0,50.0,50.0,50.0,50.0,40.0,20.0,10.0,10.0,40.0,50.0,70.0,70.0,70.0,10.0,20.0,10.0,40.0,50.0,40.0,50.0,40.0,20.0,10.0,20.0,90.0,30.0,10.0,10.0,30.0
space,nasa / european space agency,other,site internet de la nasa,10.0,0%,-75%,Low,0.0,,,,,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
space,nasa / european space agency,other,site nasa official,10.0,0%,0%,Medium,50.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
NA,NA,other,slt127,10.0,-50%,0%,High,100.0,,,,,,,,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0
observable objects,moon,other,lunette astrovision 70 700,10.0,-91%,-50%,High,100.0,0.19,0.67,10%,,,,,40.0,10.0,10.0,20.0,10.0,30.0,50.0,20.0,40.0,90.0,90.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,140.0,140.0,20.0,10.0,20.0,20.0,20.0,40.0,50.0,70.0,40.0,70.0,170.0,70.0,20.0,20.0,20.0,10.0,20.0,20.0,10.0,10.0,10.0,30.0,170.0,110.0,10.0,10.0
space,nasa / european space agency,other,la nasa site,10.0,0%,0%,Low,5.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
brands,high-end brands,vaonis,vaonis stellina prix,0.0,-100%,-100%,Unknown,,,,,,,,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,90.0,210.0,70.0,30.0,40.0,10.0,40.0,50.0,30.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,20.0,10.0,20.0,50.0,30.0,40.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,30.0,20.0,10.0,0.0
observable objects,solar system,other,genially système solaire,10.0,0%,∞,Low,0.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,30.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0
