Intentions,Topics,Subtopics,Keyword,Volume,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Avg. monthly searches,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022
telescopes,type,focale,telescope 600,10.0,-50%,∞,High,100.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0
observable objects,moon,other,lunette ou telescope pour debuter,10.0,-75%,0%,High,100.0,0.08,0.39,10%,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,10.0,20.0,20.0,20.0,30.0,20.0,10.0,10.0,30.0,40.0,10.0,10.0,10.0,20.0,20.0,20.0,30.0,30.0,20.0,20.0,50.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,40.0,10.0,10.0
telescopes,type,focale,telescope 500 euros,10.0,0%,0%,High,100.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0
telescopes,type,dobson,achat telescope dobson,10.0,0%,0%,High,75.0,,,20%,,,,,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,70.0,10.0,20.0,20.0,30.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
telescopes,type,dobson,acheter telescope dobson,0.0,-100%,-100%,Unknown,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
observable objects,messier,other,xtrfy m42 retro,10.0,0%,0%,High,100.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
observable objects,moon,other,longue vue ou lunette astronomique,10.0,-50%,0%,High,100.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,10.0,70.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,20.0,10.0,10.0
telescopes,other,other,telescope krys,10.0,-80%,-50%,High,98.0,0.23,0.31,,,,,,10.0,10.0,10.0,10.0,10.0,40.0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,30.0,20.0,30.0,30.0,20.0,20.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,30.0,50.0,10.0,10.0
astronomy,city,other,telescope ville,20.0,0%,100%,High,69.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0
NA,NA,other,les trous noirs stephen hawking,10.0,0%,0%,Low,0.0,,,,,,,,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,40.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
